segment_id,s_node_id,e_node_id,period,actual_velocity,time,LOS,congestion_factor,risk_factor
1341,366390663,2445304739,period_0_30,8.955223880597016,0.10258076993327817,C,0.23122710622710618,5.0
1341,366390663,2445304739,period_5_00,0.7880910683012259,1.165644171779141,F,5.0,5.0
1499,366424612,366479343,period_7_30,18.0,0.011191931781146698,A,0.0,5.0
1500,366424612,5762725656,period_15_30,18.0,0.0049244499837045475,A,0.0,5.0
1500,366424612,5762725656,period_2_00,18.0,0.0049244499837045475,A,0.0,5.0
1548,5735452041,366443905,period_1_30,5.278592375366569,0.3114222169694756,E,0.5517399267399268,5.0
1549,366443905,5735452021,period_1_30,18.0,0.0022383863562293396,A,0.0,5.0
1549,366443905,5735452021,period_1_30,8.955223880597016,0.004499156576020972,C,0.23122710622710618,5.0
1549,366443905,5735452021,period_1_30,18.0,0.0022383863562293396,A,0.0,5.0
1549,366443905,5735452021,period_1_30,11.612903225806452,0.0034694988521554765,B,0.1259157509157509,5.0
1549,366443905,5735452021,period_1_30,18.0,0.0022383863562293396,A,0.0,5.0
1551,366461102,366410160,period_1_30,11.612903225806452,0.014571895179053,B,0.1259157509157509,5.0
