_id,long,lat
366373899,106.6008903,10.7120043
366373916,106.5414613,10.8825775
366373918,106.7433375,10.8702174
366373923,106.6901681,10.7442927
366373925,106.619685,10.7189464
366373927,106.605479,10.7918215
366373932,106.7742059,10.8196838
366373938,106.6092083,10.7537325
366373956,106.5692013,10.6925507
366373991,106.6469352,10.7963124
366374009,106.6886115,10.8166398
366374016,106.8477108,10.845155
366374029,106.654826,10.7619455
366374033,106.6764364,10.8079143
366374071,106.5696951,10.6927452
366374108,106.6651076,10.765113
366374110,106.6574585,10.7498233
366374181,106.6483561,10.7607795
366374189,106.7252907,10.8124174
366374197,106.7663822,10.8889307
366374202,106.5531338,10.7119461
366374203,106.7353049,10.7486256
366374218,106.7729357,10.8344495
366374255,106.8106382,10.8532996
366374267,106.6425047,10.8374669
366374275,106.7695447,10.7811987
366374288,106.6045553,10.7627552
366374297,106.6494144,10.7478943
366374308,106.5509665,10.8317667
366374311,106.8055688,10.8706086
366374423,106.5404149,10.7489285
366374440,106.5389732,10.7445167
366374459,106.7446082,10.8777203
366374463,106.7931527,10.8473807
366374471,106.638543,10.7489214
366374481,106.5610605,10.6875672
366374482,106.7703155,10.7837547
366374491,106.5813357,10.729561
366374497,106.6442184,10.7599516
366374502,106.7534003,10.866251
366374503,106.6532866,10.7782327
366374517,106.7588363,10.8227968
366374519,106.8278911,10.8854893
366374520,106.665686,10.8008637
