_id,segment_id,date,weekday,period,LOS,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode
27725,63353,2020-08-02,6,period_23_30,E,3150623838,4629359725,28,468724778,,2,3 Tháng 2,primary,106.6613192,10.764505,106.6615514,10.7646288
27726,63353,2020-08-03,0,period_0_00,C,3150623838,4629359725,28,468724778,,2,3 Tháng 2,primary,106.6613192,10.764505,106.6615514,10.7646288
27727,63354,2020-08-02,6,period_23_30,F,4629359725,5285636177,16,468724778,,2,3 Tháng 2,primary,106.6615514,10.7646288,106.6616819,10.7646984
27728,63354,2020-08-03,0,period_0_00,E,4629359725,5285636177,16,468724778,,2,3 Tháng 2,primary,106.6615514,10.7646288,106.6616819,10.7646984
27729,63355,2020-08-02,6,period_23_30,C,5285636177,2841303665,48,468724778,,2,3 Tháng 2,primary,106.6616819,10.7646984,106.6620768,10.7648908
27730,63355,2020-08-03,0,period_0_00,C,5285636177,2841303665,48,468724778,,2,3 Tháng 2,primary,106.6616819,10.7646984,106.6620768,10.7648908
27731,63356,2020-08-02,6,period_23_30,E,2841303665,366461828,44,468724778,,2,3 Tháng 2,primary,106.6620768,10.7648908,106.6624273,10.7650961
27732,63356,2020-08-03,0,period_0_00,E,2841303665,366461828,44,468724778,,2,3 Tháng 2,primary,106.6620768,10.7648908,106.6624273,10.7650961
27733,63357,2020-08-02,6,period_23_30,E,366461828,366421645,40,468724778,,2,3 Tháng 2,primary,106.6624273,10.7650961,106.6627497,10.7652681
27734,63357,2020-08-03,0,period_0_00,E,366461828,366421645,40,468724778,,2,3 Tháng 2,primary,106.6624273,10.7650961,106.6627497,10.7652681
27735,63358,2020-08-02,6,period_23_30,E,366421645,366478823,25,468724778,,2,3 Tháng 2,primary,106.6627497,10.7652681,106.6629582,10.7653794
27736,63358,2020-08-03,0,period_0_00,E,366421645,366478823,25,468724778,,2,3 Tháng 2,primary,106.6627497,10.7652681,106.6629582,10.7653794
